"loc_year_month","mosq_species","date.x","year.x","month.x","lat.x","long.x","loc_name.x","loc_code.x","host_species","host_common","host_method","BIOL3070_seqID","agency_pool_num","num_count","date.y","year.y","month.y","lat.y","long.y","loc_code.y","loc_name.y","test_status"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Buteo_swainsoni","Swainsons_hawk","SPAdes","SQ054",68,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Buteo_swainsoni","Swainsons_hawk","SPAdes","SQ054",69,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Buteo_swainsoni","Swainsons_hawk","SPAdes","SQ054",4,100,2020-07-07,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Buteo_swainsoni","Swainsons_hawk","SPAdes","SQ054",241,100,2020-07-30,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",125,24,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",129,100,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",240,100,2020-07-30,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",128,69,2020-07-14,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",68,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",69,100,2020-07-09,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",4,100,2020-07-07,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2020.07","Cx_tarsalis",20-07-13,2020,7,40.79351428,-112.0127451,"Goggin",25,"Antilocapra_americana","Pronghorn","SPAdes","SQ058",241,100,2020-07-30,2020,7,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2021.06","Cx_tarsalis",21-06-02,2021,6,40.79351428,-112.0127451,"Goggin",25,"Bos_taurus","Cow","SPAdes","SQ043",123,100,2021-06-29,2021,6,-112.012101,40.793303,25,"Goggin","Negative"
"site025_2021.06","Cx_tarsalis",21-06-02,2021,6,40.79351428,-112.0127451,"Goggin",25,"Bos_taurus","Cow","SPAdes","SQ043",124,100,2021-06-29,2021,6,-112.012101,40.793303,25,"Goggin","Negative"
"site031_2018.07","Cx_pipiens_sl",18-07-22,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Passer_domesticus","House_sparrow","SPAdes","SQ235",208,26,2018-07-03,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07","Cx_pipiens_sl",18-07-22,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Passer_domesticus","House_sparrow","SPAdes","SQ235",314,16,2018-07-10,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07","Cx_pipiens_sl",18-07-22,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Passer_domesticus","House_sparrow","SPAdes","SQ235",533,37,2018-07-26,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07","Cx_pipiens_sl",18-07-22,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Passer_domesticus","House_sparrow","SPAdes","SQ235",453,71,2018-07-19,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07","Cx_pipiens_sl",18-07-22,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Passer_domesticus","House_sparrow","SPAdes","SQ235",639,100,2018-07-31,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07","Cx_pipiens_sl",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Zenaida_macroura","Mourning_dove","SPAdes","SQ231",208,26,2018-07-03,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07","Cx_pipiens_sl",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Zenaida_macroura","Mourning_dove","SPAdes","SQ231",314,16,2018-07-10,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07","Cx_pipiens_sl",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Zenaida_macroura","Mourning_dove","SPAdes","SQ231",533,37,2018-07-26,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07","Cx_pipiens_sl",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Zenaida_macroura","Mourning_dove","SPAdes","SQ231",453,71,2018-07-19,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site031_2018.07","Cx_pipiens_sl",18-07-15,2018,7,40.7975099,-111.9207458,"1008 Dupont Ave",31,"Zenaida_macroura","Mourning_dove","SPAdes","SQ231",639,100,2018-07-31,2018,7,-111.937342,40.80014,31,"Rose Park Golf Course","Negative"
"site032_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Passer_domesticus","House_sparrow","SPAdes","SQ227",471,12,2018-07-19,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Haemorhous_mexicanus","House_finch","SPAdes","SQ226",471,12,2018-07-19,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Passer_domesticus","House_sparrow","SPAdes","SQ225",471,12,2018-07-19,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Passer_domesticus","House_sparrow","SPAdes","SQ229",471,12,2018-07-19,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2018.07","Cx_pipiens_sl",18-07-11,2018,7,40.77368687,-111.9200176,"Fair Park",32,"Streptopelia_decaocto","Eurasian_collared_dove","SPAdes","SQ228",471,12,2018-07-19,2018,7,-111.922979,40.772317,32,"Fair Park","Negative"
"site032_2020.07","Cx_pipiens_sl",20-07-09,2020,7,40.7753759,-111.92019,"Fire Station 7",32,"Passer_domesticus","House_sparrow","SPAdes","SQ150",182,40,2020-07-30,2020,7,-111.920029,40.772369,32,"Fair Park","Negative"
"site032_2020.07","Cx_pipiens_sl",20-07-09,2020,7,40.7753759,-111.92019,"Fire Station 7",32,"Streptopelia_decaocto","Eurasian_collared_dove","SPAdes","",182,40,2020-07-30,2020,7,-111.920029,40.772369,32,"Fair Park","Negative"
"site032_2021.06","Cx_pipiens_sl",21-06-23,2021,6,40.7753759,-111.92019,"Fire Station 7",32,"Haemorhous_mexicanus","House_finch","SPAdes","SQ079",102,35,2021-06-29,2021,6,-111.920029,40.772369,32,"Fair Park","Negative"
